rice_id;chiave;tid;timestamp_TO_DELETE;valore;timestamp
284225;osVersion;85998;NULL;10.0.22000.2538;"2026-01-21 07:53:09"
284226;osType;117583;NULL;WINDOWS;"2026-01-21 07:46:28"
284226;osVersion;117583;NULL;10.0.19045.6466;"2026-01-21 07:46:28"
284229;osType;82365;NULL;WINDOWS;"2026-01-21 08:20:19"
284229;osVersion;82365;NULL;10.0.26200.7623;"2026-01-21 08:20:19"
284233;osType;117732;NULL;WINDOWS;"2025-12-18 08:24:12"
284233;osVersion;117732;NULL;10.0.19045.6466;"2025-12-18 08:24:12"
284234;osType;117731;NULL;WINDOWS;"2026-01-21 08:28:33"
284234;osVersion;117731;NULL;10.0.19045.6466;"2026-01-21 08:28:33"
284235;osType;117526;NULL;WINDOWS;"2026-01-17 09:06:35"
284235;osVersion;117526;NULL;10.0.19045.6466;"2026-01-17 09:06:35"
284237;osType;117733;NULL;WINDOWS;"2026-01-02 18:45:57"
284237;osVersion;117733;NULL;10.0.22621.1778;"2026-01-02 18:45:57"
284238;osType;117596;NULL;WINDOWS;"2026-01-21 09:04:37"
284238;osVersion;117596;NULL;10.0.19045.6466;"2026-01-21 09:04:37"
284241;osType;117735;NULL;WINDOWS;"2026-01-20 09:00:40"
284241;osVersion;117735;NULL;10.0.19045.6466;"2026-01-20 09:00:40"
284242;osType;66316;NULL;WINDOWS;"2026-01-21 08:39:12"
284242;osVersion;66316;NULL;10.0.26200.7623;"2026-01-21 08:39:12"
284245;osType;88748;NULL;WINDOWS;"2026-01-21 09:13:47"
284245;osVersion;88748;NULL;10.0.19045.4894;"2026-01-21 09:13:47"
284246;osType;117779;NULL;WINDOWS;"2026-01-19 07:05:49"
284246;osVersion;117779;NULL;10.0.22000.2538;"2026-01-19 07:05:49"
284247;osType;117563;NULL;WINDOWS;"2026-01-21 08:09:48"
284247;osVersion;117563;NULL;10.0.26200.7623;"2026-01-21 08:09:48"
284257;osType;65618;NULL;WINDOWS;"2026-01-21 06:52:13"
284257;osVersion;65618;NULL;10.0.19045.6466;"2026-01-21 06:52:13"
